省级行政区,城市,北纬,东经
北京,北京市,39.90469,116.40717
天津,天津市,39.0851,117.19937
上海,上海市,31.23037,121.4737
重庆,重庆市,29.56471,106.55073
香港特别行政区,九龙,22.327115,114.17495
香港特别行政区,新界,22.341766,114.202408
香港特别行政区,香港岛,22.266416,114.177314
澳门特别行政区,路环岛,22.116226,113.564857
澳门特别行政区,澳门半岛,22.198751,113.549134
澳门特别行政区,氹仔岛,22.156838,113.577669
台湾省,台中市,24.13862,120.67951
台湾省,台北市,25.037798,121.56517
台湾省,台南市,23.172478,120.279363
台湾省,嘉义市,23.481568,120.452538
台湾省,高雄市,22.620856,120.286795
台湾省,基隆市,25.130741,121.746248
台湾省,新北市,25.012366,121.465746
河北省,石家庄市,38.04276,114.5143
河北省,唐山市,39.63048,118.18058
河北省,秦皇岛市,39.93545,119.59964
河北省,邯郸市,36.62556,114.53918
河北省,邢台市,37.07055,114.50443
河北省,保定市,38.87396,115.46459
河北省,张家口市,40.82444,114.88755
河北省,承德市,40.9515,117.9634
河北省,沧州市,38.30441,116.83869
河北省,廊坊市,39.53775,116.68376
河北省,衡水市,37.73886,115.67054
河南省,郑州市,34.74725,113.62493
河南省,开封市,34.79726,114.30731
河南省,洛阳市,34.61812,112.45361
河南省,平顶山市,33.76609,113.19241
河南省,安阳市,36.09771,114.3931
河南省,鹤壁市,35.747,114.29745
河南省,新乡市,35.30323,113.92675
河南省,焦作市,35.21563,113.24201
河南省,濮阳市,35.76189,115.02932
河南省,许昌市,34.0357,113.85233
河南省,漯河市,33.58149,114.01681
河南省,三门峡市,34.77261,111.2003
河南省,南阳市,32.99073,112.52851
河南省,商丘市,34.41427,115.65635
河南省,信阳市,32.14714,114.09279
河南省,周口市,33.62583,114.69695
河南省,驻马店市,33.01142,114.02299
山东省,济南市,36.65184,117.12009
山东省,青岛市,36.06623,120.38299
山东省,淄博市,36.8131,118.0548
山东省,枣庄市,34.81071,117.32196
山东省,东营市,37.43365,118.67466
山东省,烟台市,37.46353,121.44801
山东省,潍坊市,36.70686,119.16176
山东省,济宁市,35.41459,116.58724
山东省,泰安市,36.19994,117.0884
山东省,威海市,37.51348,122.12171
山东省,日照市,35.41646,119.52719
山东省,莱芜市,36.21359,117.67667
山东省,临沂市,35.10465,118.35646
山东省,德州市,37.4355,116.35927
山东省,聊城市,36.45702,115.98549
山东省,滨州市,37.38211,117.97279
山东省,菏泽市,35.23363,115.48115
山西省,太原市,37.876876,112.556252
山西省,大同市,40.081863,113.304424
山西省,阳泉市,37.85668,113.58047
山西省,长治市,36.19581,113.11649
山西省,晋城市,35.49039,112.85113
山西省,朔州市,39.357422,112.439374
山西省,晋中市,37.68702,112.75278
山西省,运城市,35.02628,111.00699
山西省,忻州市,38.4167,112.73418
山西省,临汾市,36.08822,111.51962
山西省,吕梁市,37.51934,111.14165
辽宁省,沈阳市,41.67718,123.4631
辽宁省,大连市,38.91369,121.61476
辽宁省,鞍山市,41.10777,122.9946
辽宁省,抚顺市,41.87971,123.95722
辽宁省,本溪市,41.29413,123.76686
辽宁省,丹东市,39.9998,124.35601
辽宁省,锦州市,41.09515,121.12703
辽宁省,营口市,40.66683,122.2349
辽宁省,阜新市,42.02166,121.67011
辽宁省,辽阳市,41.26809,123.23736
辽宁省,盘锦市,41.11996,122.07078
辽宁省,铁岭市,42.2862,123.84241
辽宁省,朝阳市,41.57347,120.4508
辽宁省,葫芦岛市,40.711,120.83699
吉林省,长春市,43.81602,125.32357
吉林省,吉林市,43.83784,126.54944
吉林省,四平市,43.16646,124.35036
吉林省,辽源市,42.88805,125.14368
吉林省,通化市,41.72829,125.9399
吉林省,白山市,41.9408,126.42443
吉林省,松原市,45.1411,124.82515
吉林省,白城市,45.6196,122.83871
吉林省,延边朝鲜族自治州,42.89119,129.5091
黑龙江省,哈尔滨市,45.80216,126.5358
黑龙江省,齐齐哈尔市,47.35431,123.91796
黑龙江省,鸡西市,45.29524,130.96954
黑龙江省,鹤岗市,47.34989,130.29785
黑龙江省,双鸭山市,46.64658,131.1591
黑龙江省,大庆市,46.595319,125.110961
黑龙江省,伊春市,47.72752,128.84049
黑龙江省,佳木斯市,46.79977,130.31882
黑龙江省,七台河市,45.77065,131.00306
黑龙江省,牡丹江市,44.55269,129.63244
黑龙江省,黑河市,50.24523,127.52852
黑龙江省,绥化市,46.65246,126.96932
黑龙江省,大兴安岭地区,51.92398,124.59216
江苏省,南京市,32.05838,118.79647
江苏省,无锡市,31.49099,120.31237
江苏省,徐州市,34.2044,117.28577
江苏省,常州市,31.81072,119.97365
江苏省,苏州市,31.29834,120.58319
江苏省,南通市,31.97958,120.89371
江苏省,连云港市,34.59669,119.22295
江苏省,淮安市,33.61016,119.01595
江苏省,盐城市,33.34951,120.16164
江苏省,扬州市,32.39358,119.41269
江苏省,镇江市,32.18959,119.425
江苏省,泰州市,32.45546,119.92554
江苏省,宿迁市,33.96193,118.27549
浙江省,杭州市,30.27415,120.15515
浙江省,宁波市,29.87386,121.55027
浙江省,温州市,27.99492,120.69939
浙江省,嘉兴市,30.74501,120.7555
浙江省,湖州市,30.89305,120.08805
浙江省,绍兴市,30.03033,120.5802
浙江省,金华市,29.07812,119.64759
浙江省,衢州市,28.93592,118.87419
浙江省,舟山市,29.98539,122.20778
浙江省,台州市,28.65611,121.42056
浙江省,丽水市,28.4672,119.92293
安徽省,合肥市,31.82057,117.22901
安徽省,芜湖市,31.35246,118.43313
安徽省,蚌埠市,32.91548,117.38932
安徽省,淮南市,32.62549,116.9998
安徽省,马鞍山市,31.67067,118.50611
安徽省,淮北市,33.95479,116.79834
安徽省,铜陵市,30.94486,117.81232
安徽省,安庆市,30.54294,117.06354
安徽省,黄山市,29.71517,118.33866
安徽省,滁州市,32.30181,118.31683
安徽省,阜阳市,32.88963,115.81495
安徽省,宿州市,33.64614,116.96391
安徽省,六安市,31.73488,116.52324
安徽省,亳州市,33.84461,115.77931
安徽省,池州市,30.66469,117.49142
安徽省,宣城市,30.94078,118.75866
福建省,福州市,26.07421,119.29647
福建省,厦门市,24.47951,118.08948
福建省,莆田市,25.454,119.00771
福建省,三明市,26.26385,117.63922
福建省,泉州市,24.87389,118.67587
福建省,漳州市,24.51347,117.64725
福建省,南平市,27.33175,118.12043
福建省,龙岩市,25.07504,117.01722
福建省,宁德市,26.66571,119.54819
江西省,南昌市,28.68202,115.85794
江西省,景德镇市,29.26869,117.17839
江西省,萍乡市,27.62289,113.85427
江西省,九江市,29.70548,116.00146
江西省,新余市,27.81776,114.91713
江西省,鹰潭市,28.26019,117.06919
江西省,赣州市,25.83109,114.93476
